mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;A13;aloja;motivo;A16;gastototal;factoregatur
12025;2;20240100007183;2;2;1;4;5;1;1;6;1260.9938109;10.873890253
12025;2;20240100007184;2;2;1;4;21;3;3;6;1554.7126578;23.495239702
12025;2;20240100007185;2;2;1;4;90;3;3;6;4473.5324858;7.5852480029
12025;2;20240100007186;2;2;1;5;5;3;3;6;945.56754028;6.4898481165
12025;2;20240100007208;2;2;1;4;3;1;1;6;952.06554748;31.312691038
12025;2;20240100007209;2;2;1;4;5;3;1;6;1125.0072436;28.491784884
12025;2;20240100007603;2;2;5;4;20;3;3;6;658.08057718;110.94495327
12025;2;20240100007604;2;2;5;4;10;3;3;6;805.17710763;110.94495327
12025;2;20240100007683;2;2;5;4;4;3;3;6;548.25877777;110.94495327
12025;2;20240100007693;2;2;3;10;9;3;3;6;759.108915;207.55502347
12025;2;20240100007694;2;2;3;10;14;3;1;6;935.81368485;194.90506698
12025;2;20240100007695;2;2;3;10;2;1;1;6;564.87353002;269.5238625
12025;2;20240100007696;2;2;3;10;8;1;1;6;1673.3669796;229.21301543
12025;2;20240100007746;2;2;3;10;11;3;3;6;856.70538559;103.77751173
12025;2;20240100007747;2;2;3;10;7;3;1;6;618.85784342;779.62026792
12025;2;20240100007749;2;2;3;10;8;3;3;6;733.62517403;103.77751173
12025;2;20240100007868;2;2;14;9;13;3;1;6;1772.9900943;307.21090874
12025;2;20240100007904;2;2;12;9;14;3;1;6;1308.4261345;2620.9766042
12025;2;20240100008177;8;1;7;7;1;1;3;6;84.205409637;2922.0403271
12025;2;20240100008227;8;3;11;9;2;1;1;6;2216.5197588;101.41286883
12025;2;20240100008228;2;3;5;13;11;1;3;6;1629.0215313;9.2400753323
12025;2;20240100008229;2;3;5;1;34;2;1;6;3750.1274729;92.941673608
12025;2;20240100008230;8;3;5;13;20;2;1;6;2101.3518749;214.73357451
12025;2;20240100008232;2;3;5;14;80;3;2;6;4584.5461393;72.928899154
12025;2;20240100008234;2;3;5;9;1;3;1;6;401.89326362;134.16811379
12025;2;20240100008236;2;3;14;1;8;1;1;6;8473.75382;18.274168478
12025;2;20240100008385;2;2;9;14;15;3;3;6;1006.5165159;227.62277261
12025;2;20240100008605;8;1;7;7;1;1;3;6;365.97981866;2922.0403271
12025;2;20240100008661;8;1;7;10;3;1;3;6;537.31449672;816.72600927
12025;2;20240100009009;2;2;15;16;4;1;3;6;3950.179007;248.73992607
12025;2;20240100009698;8;3;5;1;11;2;1;6;1883.7125591;60.273827601
12025;2;20240100009699;2;3;5;10;57;3;3;6;3223.2992383;72.582182623
12025;2;20240100009700;8;3;1;1;14;2;1;6;2670.6544022;111.11968249
12025;2;20240100009702;2;3;5;10;5;1;1;6;1484.2929763;190.85102148
12025;2;20240100009703;2;3;5;9;4;1;1;6;971.61127523;113.73640075
12025;2;20240100009704;2;3;5;9;5;1;1;6;1184.4088688;81.376892577
12025;2;20240100009706;2;3;5;9;4;1;1;6;971.61127523;113.73640075
12025;2;20240100010288;2;2;15;9;3;1;1;6;2618.1763892;1399.8981587
12025;2;20240100010299;2;2;15;9;5;1;1;1;1954.2775534;952.07716927
12025;2;20240100010526;2;1;1;9;1;1;3;6;307.1068795;755.47735922
12025;2;20240100010622;2;2;9;10;7;3;1;6;818.17100132;335.0300321
12025;2;20240100010624;2;2;9;10;3;1;2;6;644.73074378;470.83541956
12025;2;20240100010670;2;2;9;1;4;3;2;6;814.65753931;244.09078435
12025;2;20240100010793;2;2;1;4;21;3;1;6;1596.3805914;28.491784884
12025;2;20240100011298;2;2;12;10;30;3;3;6;1241.7632883;15.77382265
12025;2;20240100011299;2;2;12;10;30;3;3;6;2256.4585526;15.77382265
12025;2;20240100011300;2;2;12;10;12;3;3;6;886.63391679;15.77382265
12025;2;20240100011302;2;2;12;10;15;3;3;6;1053.7030889;23.660733974
12025;2;20240100011303;2;2;12;10;30;3;3;6;2256.4585526;7.8869113248
12025;2;20240100011304;2;2;12;10;30;3;3;6;1719.9568722;7.8869113248
12025;2;20240100011306;2;2;8;10;6;3;3;6;614.81410117;4.0932684961
12025;2;20240100011307;2;2;8;10;6;3;3;6;614.81410117;4.0932684961
12025;2;20240100011308;2;2;8;10;14;3;3;6;1394.1907739;3.6790571023
12025;2;20240100011311;2;2;8;10;32;3;3;6;1909.2802107;4.0932684961
12025;2;20240100011312;2;2;8;13;14;3;3;6;1094.825826;8.7476929207
12025;2;20240100011313;2;2;8;10;21;3;3;6;1373.410454;8.1865369923
12025;2;20240100011314;2;2;8;10;14;1;3;6;1638.3677603;9.5680961947
12025;2;20240100011315;2;2;8;13;21;3;3;6;1374.8009317;8.7476929207
12025;2;20240100011750;2;2;12;13;1;1;1;6;1097.1906184;1004.6519962
